start	end	text
539520	543200	them the products that might best suit their needs and introducing them to products that they
543200	549440	might not have considered before. So I would expect to be moving around and being consistently
549440	554320	engaged with a customer or trying to find ways to improve what we offer to our customers.
556320	562160	Can you describe it time for me ever that you may have disagreed on a decision that was made
562160	567120	for you and staff members at work and how did you deal with this? Sure. Within the field of
567120	571280	education there are new initiatives being rolled out all the time and sometimes those initiatives
571280	576240	get mandated. You have to teach this way this many times a week and when something like that
576240	582000	happens I think it's important to go back to what you know about your profession or your skill set
582000	587760	and you provide research that supports why you do what you do and I think when faced with a
587760	593120	difficulty again it's important to do what the boss says and it's important to also advocate
593120	601200	for what might be best for the customer or student. All right we're going to move on to some
602080	608160	cognitive behavioral questions and basically these questions are designed. They're not necessarily
608160	615120	about your past, your experience, they're sort of out of the box questions and so just do your
615120	620720	best at answering them as you go through this. So if you were an animal what would you be and why?
622560	630160	That's a tough question I think considering the traits of my dog if I had to be an animal
630160	636240	I would certainly want to be a domesticated dog they just have that ability to love unconditionally
636240	642000	their intensely loyal and they just provide so many benefits to people and that's something I'd
642000	649680	like to do in my life as a human too. Great. The next question how many tennis balls can you
649680	658000	fit into a limousine? Can this fall in the limousine? Well I guess to effectively answer that question
658000	663200	I would need some help. I would need to know what type of limousine because if we're talking about
663200	669280	a stretch SUV that's a much larger volume than a smaller limousine are we talking to door
669280	674880	four door? I also don't know what's in the limousine already other people in there or is it empty?
676080	680320	Once I had those questions answered I'd have to do some calculations about the size of a tennis
680320	685920	ball, how much area or how much volume it takes up, calculate the inside of the limousine and then
685920	690880	make sure the math works out. I could get that answer to you. I just can't do it off top of my head.
690880	699760	Great. Let me ask this final question. Do you have any questions for us?
700720	705760	Well I mentioned a couple of times about being interested in helping grow a market for REI.
706560	712000	I'm just curious as a new employee or someone starting out on the lower level how open is
712000	720720	upper management hearing the ideas of an employee? We do try to have monthly meetings where we
720720	726400	meet with a variety of employees around them. These aren't things that are necessarily scheduled
726400	735600	regularly. They're very semi-annual. They're very informal. We do like to hear our employees
735600	741520	opinions about our products especially and about marketing. One thing that we don't necessarily do
741520	750400	is the lower level positions that are dealing maybe with collections or the intake and
750400	756080	distribution of customer service calls. We don't necessarily talk to that group of employees very
756080	761760	often but I'd be very interested to hear your opinions on that. Should you be hired for the
761760	767280	position and maybe ways that we could do better as well by reaching a larger group of our employees
767280	772240	to benefit our company. Okay and then last question for me. What from your perspective is the best
772240	778880	part about working for REI? I think the work atmosphere with our company is very welcoming and
778880	784880	even in my position in somewhat upper management those that I work for that are above me. They're
784880	791760	very good to our employees and I think because of the treatment of our employees we retain
791760	797760	employment. It's very easy for us to get things done because people want to do their jobs.
799120	803600	I have worked myself in positions where I've worked underneath people who are more tyrannical
803600	809280	in nature and it's very difficult to want to do more and go above and beyond what you need to do
809280	813200	in those situations. So I believe that that's the number one benefit of working in the
813200	817200	our particular company is the atmosphere itself. Great. Thank you so much for your time. Okay.
817200	834800	Thank you very much. Thank you.
